"Geo_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"	"min_all_mean"	"max_all_mean"	"fold"
"33"	"California current"	"N"	17.4627628937988	25.9768171458052	41.0048723713083	39.8215618437655	62.432795566806	98.3167962771868	2.08905520905435	141.749736425048	20
"34"	"California current"	"P"	1.78541333719505	2.85576544611339	4.71399377832513	4.55226032341519	7.47009924807916	12.3291826010048	0.200415218698847	14.2099848754501	24
"35"	"California current"	"Fe"	0.0055201597964185	0.0158846788078755	0.0323979213644685	0.0309752461694951	0.0563489329674698	0.0901198521927908	0.00134979895503479	0.0955071800675543	24
"36"	"California current"	"Cu"	7.51544139947781e-05	0.0033000337792772	0.00656397483436242	0.0063174703723583	0.0111812257748089	0.0189965806969553	0.000777064230816464	0.039892113198027	8
"37"	"California current"	"Mn"	0.000218864938456573	0.000493510540329463	0.00121602486739895	0.00107751265915813	0.00263538767937908	0.00477666408057951	4.57341643504975e-05	0.00315863309393522	27
"38"	"California current"	"Se"	0.000226978353368689	0.000557164854308286	0.00117128156328212	0.00109007883969929	0.00227615094166679	0.00428133976853705	5.68581924032644e-05	0.00397626163804114	21
"39"	"California current"	"Zn"	0.00364835895479635	0.0122962209446177	0.023975594564982	0.0227903139639649	0.0423932292402637	0.0694530124515265	0.00126640293522519	0.0835850599263856	19
"40"	"California current"	"Co"	8.6458448595463e-06	1.89864900039279e-05	3.94401189563974e-05	3.72224509622036e-05	7.29116132135571e-05	0.000126551725350613	2.58074312519618e-06	0.000151953139781309	15
"41"	"Mediterranean Sea"	"N"	13.5272397625141	18.5854881096823	27.6196609205088	27.1115508363703	39.8754300792702	60.5842403567298	2.08905520905435	141.749736425048	13
"42"	"Mediterranean Sea"	"P"	1.47278805389256	1.96324259856627	2.98697353348624	2.92786467945791	4.37148894132635	7.26412479650442	0.200415218698847	14.2099848754501	15
"43"	"Mediterranean Sea"	"Fe"	0.00563017471330463	0.0108418534213373	0.0208168987188547	0.0199766395653081	0.0355874813994355	0.0598498604094631	0.00134979895503479	0.0955071800675543	15
"44"	"Mediterranean Sea"	"Cu"	0.00184770176162975	0.00355379343270072	0.00671062704611607	0.0064338131714432	0.0113781719176814	0.0208724026784861	0.000777064230816464	0.039892113198027	9
"45"	"Mediterranean Sea"	"Mn"	0.000229997942558792	0.000385735540395519	0.000753661775911517	0.000709063123335297	0.00133557095639052	0.00210201084180841	4.57341643504975e-05	0.00315863309393522	16
"46"	"Mediterranean Sea"	"Se"	0.000248059867559146	0.00044013973270115	0.000757481275008389	0.000728591812776305	0.00124645119276386	0.00211507180151112	5.68581924032644e-05	0.00397626163804114	13
"47"	"Mediterranean Sea"	"Zn"	0.00621648529176573	0.00995653011872945	0.0161091981493083	0.0156956912951346	0.0246906988139442	0.0466824863206283	0.00126640293522519	0.0835850599263856	13
"48"	"Mediterranean Sea"	"Co"	9.94923803679832e-06	1.54441154985701e-05	2.91764369448135e-05	2.78729743118677e-05	5.0079145041218e-05	7.89094707871525e-05	2.58074312519618e-06	0.000151953139781309	11
"49"	"West Indian ocean"	"N"	11.0205735915059	14.5511322294776	20.7579128134525	20.1017099055218	28.6003482610616	1468.83557911089	2.08905520905435	141.749736425048	10
"50"	"West Indian ocean"	"P"	1.04984449366959	1.43342448386526	2.08880489513148	2.02474304431872	2.9435108446558	105.63954658291	0.200415218698847	14.2099848754501	10
"51"	"West Indian ocean"	"Fe"	0.00416408026703496	0.00672969605898802	0.0132796397633733	0.012007264624614	0.0255258954994041	0.229146711972357	0.00134979895503479	0.0955071800675543	10
"52"	"West Indian ocean"	"Cu"	0.00146814133700733	0.00285212496575164	0.00605368773021239	0.00555270222513378	0.01123383798117	0.661538540011538	0.000777064230816464	0.039892113198027	8
"53"	"West Indian ocean"	"Mn"	0.000181145570642406	0.000258820466070998	0.000474476846117019	0.000450807382427259	0.000795742932736303	0.0215437820353714	4.57341643504975e-05	0.00315863309393522	10
"54"	"West Indian ocean"	"Se"	0.000228564728891389	0.000343022969761075	0.00054644670504165	0.000521807527831892	0.000831153322670813	0.0470654216000949	5.68581924032644e-05	0.00397626163804114	10
"55"	"West Indian ocean"	"Zn"	0.00573575048647487	0.00787043602428755	0.0117922644100833	0.0113952178157513	0.0167883925100841	0.843043676955695	0.00126640293522519	0.0835850599263856	9
